territorio,fecha,factor_1_sube,factor_2_sube,factor_3_sube,factor_1_sube_valor,factor_2_sube_valor,factor_3_sube_valor,factor_1_baja,factor_2_baja,factor_3_baja,factor_1_baja_valor,factor_2_baja_valor,factor_3_baja_valor
Fuencaliente de La Palma,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.12394282,0.004818266,0.0011910836,Idx ancianidad,Plazas hotel/día,Estancia media VV,-0.00074947265,-0.0005706558004021645,-0.00044616585364565253
Garachico,2025-12-01,Inercia de la presión,Estacionalidad,Tasa de reserva,0.116042666,0.0031682856,0.0017489146,Viajeros entrados,Estancia media VV,Idx reemplazo,-0.0008860124,-0.0006575621664524078,-0.00029416661709547043
Garafía,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0017776128,0.000979258,0.0004991716,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.11453569,-0.00048797056660987437,-0.00029460262157954276
Granadilla de Abona,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.001673881,0.000532778,0.0004355692,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.12937143,-0.00048377906205132604,-0.00021268968703225255
Guía de Isora,2025-12-01,Estacionalidad,Plazas hotel/día,Tasa de reserva,0.0024888508,0.0004730314,0.0003680689,Inercia de la presión,Estancia media hotel,Pernoctaciones,-0.04359674,-0.0006589544354937971,-0.000655071169603616
Gáldar,2025-12-01,Estacionalidad,Viajeros entrados,Pernoctaciones,0.0017152238,0.0005240895,0.0005225437,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.120599404,-0.00041312375105917454,-0.0002427226718282327
Güímar,2025-12-01,Estacionalidad,Plazas hotel/día,Plazas disponibles,0.0020091736,0.00074760866,7.589057e-05,Inercia de la presión,Pernoctaciones,Estancia media hotel,-0.08271643,-0.0003717954095918685,-0.00021434745576698333
Haría,2025-12-01,Estacionalidad,Estancia media hotel,Pernoctaciones,0.0018870089,0.0011093521,0.00094869646,Inercia de la presión,Plazas hotel/día,Idx dep menores 15,-0.111547805,-0.0006051191594451666,-0.0001966384588740766
Hermigua,2025-12-01,Estacionalidad,Pernoctaciones,Viajeros entrados,0.0017633473,0.0010075109,0.00053471467,Inercia de la presión,Plazas hotel/día,Viajeros alojados,-0.110621214,-0.0004886938841082156,-0.0002897447266150266
Icod de los Vinos,2025-12-01,Estacionalidad,Plazas hotel/día,Tasa de reserva,0.001881178,0.0007461002,0.00028422452,Inercia de la presión,Pernoctaciones,Idx ancianidad,-0.09010378,-0.00037539892946369946,-0.00026863787206821144
Ingenio,2025-12-01,Estacionalidad,Tasa de reserva,Viajeros entrados,0.001550782,0.00070207147,0.00053543167,Inercia de la presión,Plazas hotel/día,Estancia media hotel,-0.1282259,-0.00042015034705400467,-0.00022839220764581114
La Aldea de San Nicolás,2025-12-01,Estacionalidad,Viajeros entrados,Pernoctaciones,0.0022801906,0.00059569883,0.0005769282,Inercia de la presión,Plazas hotel/día,Idx dep menores 15,-0.07485587,-0.00041935680201277137,-0.0002174820692744106
La Guancha,2025-12-01,Inercia de la presión,Estacionalidad,Plazas hotel/día,0.078544766,0.0039309845,0.0009081982,Pernoctaciones,Viajeros entrados,Estancia media VV,-0.00059524685,-0.0005768112023361027,-0.0004194572102278471
La Matanza de Acentejo,2025-12-01,Inercia de la presión,Estacionalidad,Plazas hotel/día,0.00392759,0.0028737644,0.00082965253,Viajeros entrados,Pernoctaciones,Idx dependencia,-0.0006324722,-0.0006044357432983816,-0.00028000911697745323
La Oliva,2025-12-01,Inercia de la presión,Estacionalidad,Idx ancianidad,0.13205762,0.0026071179,0.00086810923,Viajeros entrados,Estancia media VV,Viajeros alojados,-0.00073850766,-0.00045069330371916294,-0.0002892400370910764
