territorio,n_meses_anomalos,factor_pernoctaciones,factor_ingresos_totales,factor_viajeros_alojados,pernoctaciones_2025,pernoctaciones_2026_est,pernoctaciones_subida_pct,ingresos_totales_2025,ingresos_totales_2026_est,ingresos_totales_subida_pct,viajeros_alojados_2025,viajeros_alojados_2026_est,viajeros_alojados_subida_pct
Fuencaliente de La Palma,2,2.3890763378673707,2.373044930417681,2.7086258971146657,21398.416666666668,-103040.80113555692,-581.5346982941429,125401.85666666664,-599801.417241861,-578.3034583261442,3498.0,-19097.054675616684,-645.9421005036215
Mogán,10,1.3050226919921617,1.7134962675125898,1.2850220357187279,671694.1666666666,892315.5940877105,32.84551785165777,3458398.1233333335,6032356.400293408,74.42631487664575,103655.58333333333,135591.3915494723,30.809539813635034
Puerto de la Cruz,12,1.3350316937153826,1.843750279564565,1.362683763811649,472201.3333333333,610523.7742597396,29.293106808904867,1813652.4016666666,3238470.533650957,78.56070604681169,90326.75,119205.21657516985,31.9711121845631
Pájara,9,1.1907265951569992,1.6087145296036551,1.2031593857077834,736463.1666666666,898988.0240115833,22.06829407104316,1840344.2633333334,3035071.156842331,64.9186631714787,113193.0,139615.47399855527,23.34285158848628
San Bartolomé de Tirajana,5,1.252800580652753,1.5769636513416938,1.2311122454786128,1508873.25,1927517.2083789278,27.74546890396048,8898884.316666668,14309379.537162015,60.79970283872622,233345.91666666666,292928.35682397324,25.53395448630016
Tías,2,1.035998104140302,1.132615102633949,1.0794331572427054,581065.9166666666,600338.0919441727,3.316693463637055,6531097.840833332,7377004.972014289,12.951989876682424,90751.83333333333,97692.83200059058,7.648328868203502
Vilaflor de Chasna,1,0.7780186928168991,0.9597586644865633,0.8157951274008508,59234.083333333336,48166.82422364097,-18.683937501678837,69218.28666666667,69433.52213053741,0.3109517357851699,11764.416666666666,10030.851804542124,-14.735663579788271
Yaiza,2,1.5419796822272405,2.269579772269367,1.5817975492682335,512015.5,803839.1953129771,56.995090053519284,9036817.330833333,20881821.29052988,131.07495178951746,84644.83333333333,136319.74702967834,61.04910561150023
