territorio,IPV_actual,TIT_actual,TDT_actual,IPH_actual,alerta,cluster,poblacion,densidad,superficie,envejecimiento,IPV_pred,tendencia,tiene_anomalia,ingresos_nivel,ingresos_tendencia,peso_hotelero,mes_pico,poblacion_tendencia,perfil_jovenes,perfil_mayores,n_noticias,cobertura,tono
Santa Úrsula,-0.1167780521027018,328.2859,50.1149,17086.13,Media,2.0,15450,690.56,22.3731,145.86,-0.0445958904370424,sube,False,altos,decreciente,alto,noviembre,estable,bajo,bajo,11,moderada,neutro
Santiago del Teide,1.1122432944256633,1433.1204,95.5291,18506.83,Alta,0.0,12656,242.87,52.1108,147.06,1.1283630124883064,sube,False,altos,creciente,alto,octubre,estable,bajo,alto,6,moderada,neutro
Tacoronte,-0.089718674063849,210.2364,53.8807,26368.7,Media,2.0,24694,823.23,29.9964,160.41,-0.0705068512305338,sube,False,medios,creciente,alto,noviembre,estable,bajo,alto,7,moderada,neutro
Tazacorte,-0.3342989670244412,150.8403,51.0453,4746.23,Media,2.0,4526,375.98,12.038,288.8,-0.3562002794248073,baja,False,bajos,creciente,alto,noviembre,estable,bajo,alto,10,moderada,neutro
Tegueste,-0.3707952842455186,417.4393,20.1259,13063.32,Media,2.0,11513,435.36,26.4448,176.4,-0.2668032282703572,sube,False,bajos,creciente,alto,noviembre,estable,bajo,alto,8,moderada,neutro
Teguise,0.5835512413876179,1375.0261,30.5,34567.41,Alta,2.0,23946,91.04,263.0301,129.79,0.7021625500449228,sube,False,altos,creciente,alto,agosto,estable,bajo,bajo,34,alta,positivo
Tejeda,-0.1183045192572741,1075.4988,6.4757,2446.03,Media,2.0,1816,17.48,103.8629,521.43,-0.0225142209157372,sube,False,medios,creciente,alto,noviembre,estable,bajo,alto,16,alta,positivo
Telde,0.105840692396729,23.7731,20.6575,105737.7,Alta,2.0,104933,1045.87,100.3308,151.96,0.113077494856213,sube,False,altos,creciente,alto,diciembre,estable,bajo,bajo,20,alta,positivo
Teror,-0.5377197519402213,147.154,22.1093,13872.68,Media,2.0,13244,513.19,25.8073,180.01,-0.5211375961572116,sube,False,bajos,creciente,alto,noviembre,estable,bajo,alto,28,alta,positivo
Tijarafe,-0.5816196097909552,238.4904,19.992,2927.1,Baja,2.0,2718,50.76,53.5489,321.05,-0.5737793050939671,sube,False,medios,estable,bajo,agosto,estable,bajo,alto,12,moderada,neutro
