territorio,procedencia,porcentaje
Candelaria,Irlanda,0.4
Candelaria,Italia,1.8
Candelaria,Noruega,0.4
Candelaria,Países Bajos,2.1
Candelaria,Polonia,1.8
Candelaria,Reino Unido,18.5
Candelaria,Suecia,0.7
Candelaria,Suiza,1.2
El Paso,España,8.2
El Paso,Alemania,71.7
El Paso,Bélgica,1.1
El Paso,Francia,1.0
El Paso,Italia,0.4
El Paso,Países Bajos,15.2
El Paso,Polonia,1.1
El Paso,Reino Unido,0.4
El Paso,Suecia,0.2
El Paso,Suiza,0.6
El Pinar de El Hierro,España,69.5
El Pinar de El Hierro,Alemania,13.1
El Pinar de El Hierro,Bélgica,1.5
El Pinar de El Hierro,Dinamarca,1.2
El Pinar de El Hierro,Francia,2.3
El Pinar de El Hierro,Irlanda,1.1
El Pinar de El Hierro,Italia,1.9
El Pinar de El Hierro,Noruega,2.1
El Pinar de El Hierro,Países Bajos,1.7
El Pinar de El Hierro,Polonia,1.5
El Pinar de El Hierro,Reino Unido,1.4
El Pinar de El Hierro,Suecia,1.1
El Pinar de El Hierro,Suiza,1.6
El Rosario,España,38.2
El Rosario,Alemania,15.2
El Rosario,Bélgica,3.2
El Rosario,Dinamarca,0.4
El Rosario,Francia,16.1
El Rosario,Irlanda,0.4
El Rosario,Italia,1.8
El Rosario,Noruega,0.4
El Rosario,Países Bajos,2.1
El Rosario,Polonia,1.8
El Rosario,Reino Unido,18.5
El Rosario,Suecia,0.7
El Rosario,Suiza,1.2
El Sauzal,España,38.2
El Sauzal,Alemania,15.2
El Sauzal,Bélgica,3.2
El Sauzal,Dinamarca,0.4
El Sauzal,Francia,16.1
El Sauzal,Irlanda,0.4
El Sauzal,Italia,1.8
El Sauzal,Noruega,0.4
El Sauzal,Países Bajos,2.1
El Sauzal,Polonia,1.8
El Sauzal,Reino Unido,18.5
El Sauzal,Suecia,0.7
El Sauzal,Suiza,1.2
El Tanque,España,38.2
El Tanque,Alemania,15.2
El Tanque,Bélgica,3.2
El Tanque,Dinamarca,0.4
El Tanque,Francia,16.1
El Tanque,Irlanda,0.4
El Tanque,Italia,1.8
El Tanque,Noruega,0.4
El Tanque,Países Bajos,2.1
El Tanque,Polonia,1.8
El Tanque,Reino Unido,18.5
El Tanque,Suecia,0.7
El Tanque,Suiza,1.2
Fasnia,España,38.2
Fasnia,Alemania,15.2
Fasnia,Bélgica,3.2
Fasnia,Dinamarca,0.4
Fasnia,Francia,16.1
Fasnia,Irlanda,0.4
Fasnia,Italia,1.8
Fasnia,Noruega,0.4
Fasnia,Países Bajos,2.1
Fasnia,Polonia,1.8
Fasnia,Reino Unido,18.5
Fasnia,Suecia,0.7
Fasnia,Suiza,1.2
Firgas,España,55.1
Firgas,Alemania,16.0
Firgas,Bélgica,1.8
Firgas,Dinamarca,0.7
Firgas,Francia,5.5
Firgas,Irlanda,0.7
Firgas,Italia,3.0
Firgas,Noruega,1.0
Firgas,Países Bajos,2.2
Firgas,Polonia,1.7
Firgas,Reino Unido,9.5
Firgas,Suecia,1.3
Firgas,Suiza,1.4
Frontera,España,80.5
Frontera,Alemania,8.7
Frontera,Bélgica,0.8
Frontera,Dinamarca,0.9
Frontera,Francia,2.0
Frontera,Irlanda,1.0
Frontera,Italia,1.2
Frontera,Noruega,0.3
Frontera,Países Bajos,0.6
Frontera,Polonia,0.3
Frontera,Reino Unido,1.4
Frontera,Suecia,0.8
Frontera,Suiza,1.4
Fuencaliente de La Palma,España,0.9
Fuencaliente de La Palma,Alemania,17.9
Fuencaliente de La Palma,Bélgica,1.2
Fuencaliente de La Palma,Dinamarca,21.8
Fuencaliente de La Palma,Francia,3.3
Fuencaliente de La Palma,Irlanda,0.3
Fuencaliente de La Palma,Italia,1.2
Fuencaliente de La Palma,Noruega,0.1
Fuencaliente de La Palma,Países Bajos,3.7
Fuencaliente de La Palma,Polonia,13.5
Fuencaliente de La Palma,Reino Unido,34.2
Fuencaliente de La Palma,Suecia,0.8
Fuencaliente de La Palma,Suiza,1.1
Garachico,España,38.2
Garachico,Alemania,15.2
Garachico,Bélgica,3.2
Garachico,Dinamarca,0.4
Garachico,Francia,16.1
Garachico,Irlanda,0.4
Garachico,Italia,1.8
Garachico,Noruega,0.4
Garachico,Países Bajos,2.1
Garachico,Polonia,1.8
Garachico,Reino Unido,18.5
Garachico,Suecia,0.7
Garachico,Suiza,1.2
Garafía,España,33.1
Garafía,Alemania,32.0
Garafía,Bélgica,2.8
Garafía,Dinamarca,12.9
Garafía,Francia,3.0
Garafía,Irlanda,0.7
Garafía,Italia,1.8
Garafía,Noruega,0.6
Garafía,Países Bajos,8.0
Garafía,Polonia,0.6
Garafía,Reino Unido,2.3
Garafía,Suecia,0.7
Garafía,Suiza,1.6
Granadilla de Abona,España,15.8
Granadilla de Abona,Alemania,22.0
Granadilla de Abona,Bélgica,1.8
Granadilla de Abona,Dinamarca,0.5
Granadilla de Abona,Francia,4.1
Granadilla de Abona,Irlanda,2.0
Granadilla de Abona,Italia,4.5
Granadilla de Abona,Noruega,0.7
Granadilla de Abona,Países Bajos,2.8
Granadilla de Abona,Polonia,2.7
Granadilla de Abona,Reino Unido,39.6
Granadilla de Abona,Suecia,0.6
Granadilla de Abona,Suiza,2.8
Guía de Isora,España,20.1
Guía de Isora,Alemania,7.1
Guía de Isora,Bélgica,2.2
Guía de Isora,Dinamarca,2.1
Guía de Isora,Francia,9.1
Guía de Isora,Irlanda,1.4
Guía de Isora,Italia,2.2
Guía de Isora,Noruega,1.3
Guía de Isora,Países Bajos,4.0
Guía de Isora,Polonia,6.1
Guía de Isora,Reino Unido,41.1
Guía de Isora,Suecia,2.3
Guía de Isora,Suiza,1.1
Gáldar,España,55.1
Gáldar,Alemania,16.0
Gáldar,Bélgica,1.8
Gáldar,Dinamarca,0.7
Gáldar,Francia,5.5
