territorio,procedencia,porcentaje
Santa María de Guía de Gran Canaria,Bélgica,1.8
Santa María de Guía de Gran Canaria,Dinamarca,0.7
Santa María de Guía de Gran Canaria,Francia,5.5
Santa María de Guía de Gran Canaria,Irlanda,0.7
Santa María de Guía de Gran Canaria,Italia,3.0
Santa María de Guía de Gran Canaria,Noruega,1.0
Santa María de Guía de Gran Canaria,Países Bajos,2.2
Santa María de Guía de Gran Canaria,Polonia,1.7
Santa María de Guía de Gran Canaria,Reino Unido,9.5
Santa María de Guía de Gran Canaria,Suecia,1.3
Santa María de Guía de Gran Canaria,Suiza,1.4
Santa Úrsula,España,38.2
Santa Úrsula,Alemania,15.2
Santa Úrsula,Bélgica,3.2
Santa Úrsula,Dinamarca,0.4
Santa Úrsula,Francia,16.1
Santa Úrsula,Irlanda,0.4
Santa Úrsula,Italia,1.8
Santa Úrsula,Noruega,0.4
Santa Úrsula,Países Bajos,2.1
Santa Úrsula,Polonia,1.8
Santa Úrsula,Reino Unido,18.5
Santa Úrsula,Suecia,0.7
Santa Úrsula,Suiza,1.2
Santiago del Teide,España,6.5
Santiago del Teide,Alemania,10.9
Santiago del Teide,Bélgica,2.2
Santiago del Teide,Dinamarca,1.5
Santiago del Teide,Francia,9.4
Santiago del Teide,Irlanda,2.2
Santiago del Teide,Italia,1.6
Santiago del Teide,Noruega,0.6
Santiago del Teide,Países Bajos,3.3
Santiago del Teide,Polonia,9.4
Santiago del Teide,Reino Unido,50.3
Santiago del Teide,Suecia,1.1
Santiago del Teide,Suiza,0.9
Tacoronte,España,38.2
Tacoronte,Alemania,15.2
Tacoronte,Bélgica,3.2
Tacoronte,Dinamarca,0.4
Tacoronte,Francia,16.1
Tacoronte,Irlanda,0.4
Tacoronte,Italia,1.8
Tacoronte,Noruega,0.4
Tacoronte,Países Bajos,2.1
Tacoronte,Polonia,1.8
Tacoronte,Reino Unido,18.5
Tacoronte,Suecia,0.7
Tacoronte,Suiza,1.2
Tazacorte,España,39.6
Tazacorte,Alemania,37.2
Tazacorte,Bélgica,5.3
Tazacorte,Dinamarca,0.6
Tazacorte,Francia,3.0
Tazacorte,Italia,1.1
Tazacorte,Noruega,0.9
Tazacorte,Países Bajos,3.5
Tazacorte,Polonia,1.8
Tazacorte,Reino Unido,2.7
Tazacorte,Suecia,2.5
Tazacorte,Suiza,1.7
Tegueste,España,38.2
Tegueste,Alemania,15.2
Tegueste,Bélgica,3.2
Tegueste,Dinamarca,0.4
Tegueste,Francia,16.1
Tegueste,Irlanda,0.4
Tegueste,Italia,1.8
Tegueste,Noruega,0.4
Tegueste,Países Bajos,2.1
Tegueste,Polonia,1.8
Tegueste,Reino Unido,18.5
Tegueste,Suecia,0.7
Tegueste,Suiza,1.2
Teguise,España,11.2
Teguise,Alemania,11.7
Teguise,Bélgica,0.9
Teguise,Dinamarca,0.1
Teguise,Francia,5.1
Teguise,Irlanda,5.1
Teguise,Italia,1.2
Teguise,Noruega,0.1
Teguise,Países Bajos,1.7
Teguise,Polonia,2.4
Teguise,Reino Unido,59.7
Teguise,Suecia,0.2
Teguise,Suiza,0.7
Tejeda,España,55.1
Tejeda,Alemania,16.0
Tejeda,Bélgica,1.8
Tejeda,Dinamarca,0.7
Tejeda,Francia,5.5
Tejeda,Irlanda,0.7
Tejeda,Italia,3.0
Tejeda,Noruega,1.0
Tejeda,Países Bajos,2.2
Tejeda,Polonia,1.7
Tejeda,Reino Unido,9.5
Tejeda,Suecia,1.3
Tejeda,Suiza,1.4
Telde,España,55.1
Telde,Alemania,16.0
Telde,Bélgica,1.8
Telde,Dinamarca,0.7
Telde,Francia,5.5
Telde,Irlanda,0.7
Telde,Italia,3.0
Telde,Noruega,1.0
Telde,Países Bajos,2.2
Telde,Polonia,1.7
Telde,Reino Unido,9.5
Telde,Suecia,1.3
Telde,Suiza,1.4
Teror,España,55.1
Teror,Alemania,16.0
Teror,Bélgica,1.8
Teror,Dinamarca,0.7
Teror,Francia,5.5
Teror,Irlanda,0.7
Teror,Italia,3.0
Teror,Noruega,1.0
Teror,Países Bajos,2.2
Teror,Polonia,1.7
Teror,Reino Unido,9.5
Teror,Suecia,1.3
Teror,Suiza,1.4
Tijarafe,España,33.1
Tijarafe,Alemania,32.0
Tijarafe,Bélgica,2.8
Tijarafe,Dinamarca,12.9
Tijarafe,Francia,3.0
Tijarafe,Irlanda,0.7
Tijarafe,Italia,1.8
Tijarafe,Noruega,0.6
Tijarafe,Países Bajos,8.0
Tijarafe,Polonia,0.6
Tijarafe,Reino Unido,2.3
Tijarafe,Suecia,0.7
Tijarafe,Suiza,1.6
Tinajo,,
Tuineje,España,2.5
Tuineje,Alemania,36.0
Tuineje,Dinamarca,24.5
Tuineje,Francia,9.7
Tuineje,Italia,0.2
Tuineje,Polonia,5.2
Tuineje,Reino Unido,5.3
Tuineje,Suecia,15.4
Tuineje,Suiza,1.3
Tías,España,7.0
Tías,Alemania,12.5
Tías,Bélgica,1.3
Tías,Dinamarca,0.2
Tías,Francia,4.5
Tías,Irlanda,20.6
Tías,Italia,1.6
Tías,Noruega,0.7
Tías,Países Bajos,4.2
Tías,Polonia,1.2
Tías,Reino Unido,44.4
Tías,Suecia,0.7
Tías,Suiza,1.0
Valle Gran Rey,España,23.8
Valle Gran Rey,Alemania,64.3
Valle Gran Rey,Bélgica,0.6
Valle Gran Rey,Dinamarca,0.9
Valle Gran Rey,Francia,0.7
Valle Gran Rey,Irlanda,0.5
Valle Gran Rey,Italia,0.7
Valle Gran Rey,Noruega,1.0
Valle Gran Rey,Países Bajos,2.1
Valle Gran Rey,Polonia,0.4
Valle Gran Rey,Reino Unido,2.6
Valle Gran Rey,Suecia,0.9
Valle Gran Rey,Suiza,1.5
Vallehermoso,España,18.3
Vallehermoso,Alemania,46.9
Vallehermoso,Bélgica,5.1
Vallehermoso,Dinamarca,2.0
Vallehermoso,Francia,2.3
Vallehermoso,Irlanda,1.3
Vallehermoso,Italia,2.1
Vallehermoso,Noruega,2.8
Vallehermoso,Países Bajos,4.4
Vallehermoso,Polonia,3.6
Vallehermoso,Reino Unido,5.5
Vallehermoso,Suecia,0.8
Vallehermoso,Suiza,4.9
Valleseco,España,55.1
Valleseco,Alemania,16.0
Valleseco,Bélgica,1.8
Valleseco,Dinamarca,0.7
Valleseco,Francia,5.5
Valleseco,Irlanda,0.7
Valleseco,Italia,3.0
Valleseco,Noruega,1.0
Valleseco,Países Bajos,2.2
Valleseco,Polonia,1.7
Valleseco,Reino Unido,9.5
Valleseco,Suecia,1.3
Valleseco,Suiza,1.4
Valsequillo de Gran Canaria,España,55.1
Valsequillo de Gran Canaria,Alemania,16.0
Valsequillo de Gran Canaria,Bélgica,1.8
Valsequillo de Gran Canaria,Dinamarca,0.7
Valsequillo de Gran Canaria,Francia,5.5
Valsequillo de Gran Canaria,Irlanda,0.7
Valsequillo de Gran Canaria,Italia,3.0
Valsequillo de Gran Canaria,Noruega,1.0
Valsequillo de Gran Canaria,Países Bajos,2.2
Valsequillo de Gran Canaria,Polonia,1.7
Valsequillo de Gran Canaria,Reino Unido,9.5
Valsequillo de Gran Canaria,Suecia,1.3
Valsequillo de Gran Canaria,Suiza,1.4
Valverde,España,84.3
Valverde,Alemania,6.4
Valverde,Bélgica,1.0
Valverde,Dinamarca,0.4
Valverde,Francia,1.6
Valverde,Irlanda,0.5
Valverde,Italia,0.6
Valverde,Noruega,0.6
Valverde,Países Bajos,0.6
Valverde,Polonia,0.3
Valverde,Reino Unido,1.4
Valverde,Suecia,0.5
Valverde,Suiza,1.7
Vega de San Mateo,España,55.1
Vega de San Mateo,Alemania,16.0
Vega de San Mateo,Bélgica,1.8
Vega de San Mateo,Dinamarca,0.7
Vega de San Mateo,Francia,5.5
Vega de San Mateo,Irlanda,0.7
Vega de San Mateo,Italia,3.0
Vega de San Mateo,Noruega,1.0
Vega de San Mateo,Países Bajos,2.2
Vega de San Mateo,Polonia,1.7
Vega de San Mateo,Reino Unido,9.5
Vega de San Mateo,Suecia,1.3
Vega de San Mateo,Suiza,1.4
Vilaflor de Chasna,España,38.2
Vilaflor de Chasna,Alemania,15.2
Vilaflor de Chasna,Bélgica,3.2
Vilaflor de Chasna,Dinamarca,0.4
Vilaflor de Chasna,Francia,16.1
Vilaflor de Chasna,Irlanda,0.4
Vilaflor de Chasna,Italia,1.8
Vilaflor de Chasna,Noruega,0.4
Vilaflor de Chasna,Países Bajos,2.1
Vilaflor de Chasna,Polonia,1.8
Vilaflor de Chasna,Reino Unido,18.5
Vilaflor de Chasna,Suecia,0.7
Vilaflor de Chasna,Suiza,1.2
Villa de Mazo,España,33.1
Villa de Mazo,Alemania,32.0
Villa de Mazo,Bélgica,2.8
Villa de Mazo,Dinamarca,12.9
Villa de Mazo,Francia,3.0
Villa de Mazo,Irlanda,0.7
Villa de Mazo,Italia,1.8
Villa de Mazo,Noruega,0.6
Villa de Mazo,Países Bajos,8.0
Villa de Mazo,Polonia,0.6
Villa de Mazo,Reino Unido,2.3
Villa de Mazo,Suecia,0.7
Villa de Mazo,Suiza,1.6
Yaiza,España,9.1
Yaiza,Alemania,7.7
Yaiza,Bélgica,2.8
Yaiza,Dinamarca,0.2
Yaiza,Francia,7.9
Yaiza,Irlanda,7.8
Yaiza,Italia,1.3
Yaiza,Noruega,0.3
Yaiza,Países Bajos,3.2
Yaiza,Polonia,1.8
Yaiza,Reino Unido,56.5
Yaiza,Suecia,0.5
Yaiza,Suiza,0.8
